NRA,NOMBRE,SCIAN,DESC_SCIAN,SECTOR,SUBSECTOR,ACTIVIDAD,PARQ_ IND,COORD_UTMX,COORD_UTMY,LAT_NORTE,lat1,lat2,lat3,lat,LON_OESTE,lon1,lon2,lon3,lon,CALLE,NUM_EXT,NUM_INT,COLONIA,LOCALIDAD,ESTADO,MUNICIPIO,CP
AAA190000015,"BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO",334220,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico","Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",MANUFACTURA DE COMPONENTES ELECTRONICOS,,368693.0927,2850093.974,"25°45'46""",25,45,46,25.76277778,"100°18'33""",100,18,33,-100.3091667,Avenida Av. Sendero Divisorio,500,B1 ,Privada TABACHINES,SAN NICOLAS DE LOS GARZA,NUEVO LEON,San Nicolas de los Garza,66425
AAGL70100111,"AEROPUERTO DE AGUASCALIENTES SA DE CV,Aeropuerto Internacional de Aguascalientes ",551111,Corporativos,Otros,Servicios de administracion de aeropuertos y helipuertos,"Servicios Aeroportuarios, comerciales y complementarios ",,780482.1602,2418722.078,"21°51'0""",21,51,0,21.85,"102°17'10""",102,17,10,-102.2861111,Calle CARRETERA PANAMERICANA SUR,KM.22 , ,Colonia PE¿UELAS,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,20340
AAG1403901019,"JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO",339999,Otras industrias manufactureras,Quimica,Galvanoplastia,MAQUILA DE GALVANOPLASTIA,,671986.3405,2283474.422,"20°38'33""",20,38,33,20.6425,"103°20'57""",103,20,57,-103.3491667,Calle  10a,2083, ,Colonia FERROCARRIL,GUADALAJARA,JALISCO,Guadalajara,44440
AAL7Q1503321,"ALMEXA ALUMINIO SA DE CV,",331310,Industria básica del aluminio,Metalurgica (incluye la siderurgica),Afinacion y laminacion de aluminio,TRANSFORMACIÓN DE ALUMINIO,,494746.4971,2162444.274,"19°33'24""",19,33,24,19.55666667,"99°3'0""",99,3,0,-99.05,Calle VIA MORELOS,347, ,Colonia STA. MARIA TULPETLAC,ECATEPEC DE MORELOS,MEXICO,Ecatepec de Morelos,55400
AAL7Q1510911,"AZINSA ALUMINIO, S.A DE C.V,AZINSA ALUMINIO, S.A. DE C.V.",331310,Industria básica del aluminio,Metalurgica (incluye la siderurgica),Afinacion y laminacion de aluminio,"AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)",,483998.7598,2171967.927,"19°38'34""",19,38,34,19.64277778,"99°9'9""",99,9,9,-99.1525,Calle AV. DOS,4, ,Colonia FRACC. INDUSTRIAL CARTAGENA,TULTITLAN DE MARIANO ESCOBEDO,MEXICO,Tultitlan,54900
AAM1503900040,"ACEROS AMERICA S.A. DE C.V.,",331220,Fabricación de otros productos de hierro y acero,Metalurgica (incluye la siderurgica),Laminacion secundaria de hierro y acero,LAMINACIÓN DE VARILLA Y SIMILARES,,505305.747,2137438.076,"19°19'51""",19,19,51,19.33083333,"98°56'58""",98,56,58,-98.94944444,Calle Seminario,3, ,Colonia SAN JUAN TLALPIZAHUAC,IXTAPALUCA,MEXICO,Ixtapaluca,56576
AAM9I2803211,"ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,",336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,Automotriz,Produccion de otras auto partes,MANUFACTURA DE PAQUETE ENERGÉTICO E INFLADOR  PARA LA  INDUSTRIA  AUTOMOTRIZ,,573886.4279,2875456.587,"25°59'45""",25,59,45,25.99583333,"98°15'42""",98,15,42,-98.26166667,Calle AVE. ALCALA S/N CARR. A SAN FERNANDO,KM.2 , ,Colonia PARQUE IND. STIVA ALCALA,REYNOSA,TAMAULIPAS,Reynosa,88796
AAM9M1103711,"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO",336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,Automotriz,Produccion de otras auto partes,COMERCIALIZADORA DE EJES Y AUTOPARTES,,254545.9119,2311788.66,"20°53'24""",20,53,24,20.89,"101°21'34""",101,21,34,-101.3594444,Calle AVENIDA DE LOS COMERCIANTES,1300, ,Colonia PARQUE INDUSTRIAL FIPASI,SILAO DE LA VICTORIA,GUANAJUATO,Silao,36100
AAU1903900165,"Autokam Automotriz S.A. de C.V.,",811121,Hojalatería y pintura de automóviles y camiones,Otros,Reparacion y mantenimiento automotriz,VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA,,371287.6752,2835859.916,"25°38'5""",25,38,5,25.63472222,"100°16'55""",100,16,55,-100.2819444,Avenida EUGENIO GARZA SADA,3800, ,Colonia MAS PALOMAS,MONTERREY,NUEVO LEON,Monterrey,64780
AAU2112800014,"AUDI MEXICO, S.A DE C.V.,AUDI",336110,Fabricación de automóviles y camionetas,Automotriz,"Produccion de automoviles, camiones, tractocamiones y similares",FABRICACION DE AUTOMOVILES Y CAMIONETAS,SAN JOSE  CHIAPA,631151.4602,2125346.276,"19°13'2""",19,13,2,19.21722222,"97°45'8""",97,45,8,-97.75222222,Boulevard Q5,1, ,,SAN JOSE CHIAPA,PUEBLA,San Jose Chiapa,75012
AAZEE0900211,"ANGAR AZCAPOTZALCO S.A. DE C.V.,ANGAR AZCAPOTZALCO",468111,Comercio al por menor de automóviles y camionetas nuevos,Automotriz,"Produccion de automoviles, camiones, tractocamiones y similares",VENTA DE AUTOMÓVILES Y TALLER AUTOMOTRIZ,,481717.006,2154350.816,"19°29'1""",19,29,1,19.48361111,"99°10'27""",99,10,27,-99.17416667,Calle AV. DE LAS GRANJAS,NO.473 , ,Colonia BARRIO JAGUEY,AZCAPOTZALCO,DISTRITO FEDERAL,Azcapotzalco,2530
ABA1605200103,"AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.,AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V.",325310,Fabricación de fertilizantes,Quimica,Produccion de fertilizantes quimicos,PRODUCCIÓN DE FERTILIZANTES QUIMICOS,CENTRO,799214.3149,1983946.608,"17°55'23""",17,55,23,17.92305556,"102°10'32""",102,10,32,-102.1755556,Ninguno Sin Numero,SIN NUMERO ,SIN NUMERO ,,CIUDAD LAZARO CARDENAS,MICHOACAN,Lazaro Cardenas,60950
ABA621000711,"AUSTIN BACIS S.A. DE C.V.,AUSTIN BACIS",325920,Fabricación de explosivos,Quimica,Produccion de explosivos,FABRICACION DE EXPLOSIVOS,,635820.9639,2845201.569,"25°43'6""",25,43,6,25.71833333,"103°38'46""",103,38,46,-103.6461111,"Carretera DOM. CONOCIDO, DINAMITA",SN , ,Pueblo DINAMITA,GOMEZ PALACIO,DURANGO,Gomez Palacio,35100
ABCHM0900411,"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,Centro Médico ABC",622311,Hospitales del sector privado de otras especialidades médicas,Servicios de salud y de asistencia,Hospitales,Servicios médicos y hospitalarios,,470268.7949,2140333.068,"19°21'24""",19,21,24,19.35666667,"99°16'59""",99,16,59,-99.28305556,Calle CARLOS GRAEF FERANDEZ,154, ,Colonia TLAXALA SANTA FE,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,Cuajimalpa de Morelos,5300
ABCHM0901021,"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,Centro Médico ABC",622311,Hospitales del sector privado de otras especialidades médicas,Servicios de salud y de asistencia,Hospitales,Servicios médicos y hospitalarios,,478549.0421,2145130.619,"19°24'0""",19,24,0,19.4,"99°12'15""",99,12,15,-99.20416667,Calle SUR  136,116, ,Colonia LAS AMERICAS,ALVARO OBREGON,DISTRITO FEDERAL,Alvaro Obregon,1120
ABC8A0200411,"ALUMINIO DE BAJA CALIFORNIA SA DE CV,",332810,Recubrimientos y terminados metálicos,Quimica,Anodizado de aluminio,INDUSTRIA DEL ALUMINIO,,496845.0006,3588081.422,"32°25'47""",32,25,47,32.42972222,"117°2'0""",117,2,0,-117.0333333,Calle MONFERRATO,6701, ,Colonia SAN ANTONIO DE LOS BUENOS,PORTICOS DE SAN ANTONIO,BAJA CALIFORNIA,Tijuana,22563
ABI5J1100511,"ALCOSA BIOTEC SA DE CV, ",325130,Fabricación de pigmentos y colorantes sintéticos,Quimica,Produccion de colorantes y pigmentos,PRODUCCION DE PIGMENTOS Y COLORANTES,,319020.1921,2272705.178,"20°32'40""",20,32,40,20.54444444,"100°44'9""",100,44,9,-100.7358333,Calle Carretera Queretaro-Irapuato,KM.36 , ,Colonia Apaseo el Grande Guanajuato,APASEO EL GRANDE,GUANAJUATO,Apaseo el Grande,38180
ABI861900611,"ABINSA SA DE CV,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO",331220,Fabricación de otros productos de hierro y acero,Metalurgica (incluye la siderurgica),Laminacion secundaria de hierro y acero,FABRICACIÓN DE OTROS PRODUCTOS DE HIERRO Y ACERO DE MATERIAL COMPRADO,PARQUE INDUSTRIAL MONTERREY,384165.297,2850372.029,"25°46'0""",25,46,0,25.76666667,"100°9'18""",100,9,18,-100.155,Calle SEPTIMA AVENIDA,150, ,,CIUDAD APODACA,NUEVO LEON,Apodaca,66603
ABL1902600106,"Acuity Brands Lighting de Mexico S de RL de CV,ACUITY BRANDS LIGHTING DE MÉXICO, S. DE R.L. DE C.V.",335110,Fabricación de focos,"Equipos y articulos electronicos, electricos y domesticos",Produccion de focos y tubos de iluminacion,ENSAMBLE Y PINTURA DE COMPONENTES Y SISSTEMAS DE ILUMINACIÓN,PARQUE KALOS DE GUADALUPE,384151.6988,2839210.265,"25°39'57""",25,39,57,25.66583333,"100°9'15""",100,9,15,-100.1541667,Calle URANIO,704, ,,LAS ESCOBAS,NUEVO LEON,Guadalupe,67205
ABPMC1000711,"ADM BIO PRODUCTOS, S.A. DE C.V.,ADM BIO PRODUCTOS, S.A DE C.V.",311110,Elaboración de alimentos para animales,Quimica,Fabricacion de aceites y grasas alimenticias,PRODUCCION DE ACEITE Y GRASAS VEGETALES,,652397.6267,2827132.419,"25°33'13""",25,33,13,25.55361111,"103°28'58""",103,28,58,-103.4827778,Boulevard BLVD. MIGUEL ALEMAN,SN KM 11.40, ,Ciudad ZONA CENTRO,GOMEZ PALACIO,DURANGO,Gomez Palacio,35000
ABS7T0503011,"ALUMINIO Y BRONCES DE SALTILLO, S.A. DE C.V.,",331520,Moldeo por fundición de piezas metálicas no ferrosas,Metalurgica (incluye la siderurgica),Fundicion  y moldeo de piezas de metales no ferrosos,MOLDEO POR FUNDICION DE PIEZAS NO FERROSAS,,299131.8522,2818063.576,"25°27'57""",25,27,57,25.46583333,"100°59'52""",100,59,52,-100.9977778,Calle PRIMERA,1000, ,Colonia NAZARIO S ORTIZ GARZA,SALTILLO,COAHUILA,Saltillo,25100
ACAKE1700711,"AUTO CAM, S.A. DE C.V.,AUTO CAM",468111,Comercio al por menor de automóviles y camionetas nuevos,Otros,Centros distribuidores de autotransportes ,"VENTA DE VEHICULOS, Y CAMIONETAS NUEVOS",,480184.6392,2091793.584,"18°55'5""",18,55,5,18.91805556,"99°11'17""",99,11,17,-99.18805556,Calle PASEO CUAUHNAHUAC,818, ,Colonia BUGAMBILIAS,CUERNAVACA,MORELOS,Cuernavaca,62468
ACAKE1903911,"AUTOMOVILES Y CAMIONES, S.A. DE C.V.,",811111,Reparación mecánica en general de automóviles y camiones,Otros,Centros distribuidores de autotransportes ,VENTA DE AUTOMOVILES Y REFACCIONES Y SERVICIO DE MANTTO. AUTOMOTRIZ,,368207.251,2844010.811,"25°42'29""",25,42,29,25.70805556,"100°18'48""",100,18,48,-100.3133333,Calle ALFONSO  REYES,3635, ,Colonia DEL NORTE,MONTERREY,NUEVO LEON,Monterrey,64500
ACARP2300511,"Aeropuerto de Cancun SA de CV,AEROPUERTO DE CANCUN SA DE CV",488112,Administración de aeropuertos y helipuertos,Otros,Servicios de administracion de aeropuertos y helipuertos,ADMINISTRACION DE AEROPUERTOS Y HELIPUERTOS,,513116.4051,2326576.663,"21°2'23""",21,2,23,21.03972222,"86°52'25""",86,52,25,-86.87361111,Boulevard CANCUN-CHETUMAL APTO INTERNACIONAL DE CA,KM 22 , ,Colonia CANCUN (INTERNACIONAL DE CANCUN),CANCUN,QUINTANA ROO,Benito Juarez,77569
ACAS73005311,"AB CALSA S.A. DE C.V.,",311811,Panificación industrial,Alimenticio y/o de consumo humano,Panaderias,PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN,,757728.3899,2074201.975,"18°44'36""",18,44,36,18.74333333,"96°33'20""",96,33,20,-96.55555556,Carretera  LA TINAJA-CORDOBA,KM 49 , ,Rancho El limón,CUITLAHUAC,VERACRUZ,Cuitlahuac,94910
ACA2300500033,"MAYA MOTRIZ, S.A DE C.V,NISSAN COLOSIO",468111,Comercio al por menor de automóviles y camionetas nuevos,Automotriz,"Produccion de automoviles, camiones, tractocamiones y similares","Comercio de automoviles y camionetas nuevas, mantenimiento , refaccciones ",,516628.5616,2334117.936,"21°6'29""",21,6,29,21.10805556,"86°50'23""",86,50,23,-86.83972222,"Boulevard LUIS DONALDO COLOSIO, LOTE 1 MZA 5 SUPERMANZANA 310",SMZA 310 MZA 5 LOTE 1 , ,Supermanzana SUPERMANZANA 310,CANCUN,QUINTANA ROO,Benito Juarez,77500
ACA2300800026,"MAYA MOTRIZ, S.A DE C.V,NISSAN PLAYA",468111,Comercio al por menor de automóviles y camionetas nuevos,Otros,Centros distribuidores de autotransportes ,"COMERCIO AL POR MENOR DE PARTES Y REFACCIONES NUEVAS PARA AUTOS , CAMIONETAS Y CAMIONES",,492094.4221,2282010.004,"20°38'14""",20,38,14,20.63722222,"87°4'33""",87,4,33,-87.07583333,Carretera FEDERAL TULUM-CANCUN LOTE 1,MZA 104 , ,Ciudad Playa del Carmen,PLAYA DEL CARMEN,QUINTANA ROO,Solidaridad,77710
ACA460801121,"ATHLETIC DE CAMARGO SA DE CV,Russell Athletic de Camargo",315229,Confección en serie de otra ropa exterior de materiales textiles,"Textiles, fibras e hilos",Confeccion de prendas de vestir,Confeccion de prendas de vestir,,559668.7241,3100868.065,"28°1'54""",28,1,54,28.03166667,"104°23'34""",104,23,34,-104.3927778,Calle LIBERTAD,2, ,Colonia ABRAHAM GONZALEZ,SANTA ROSALIA DE CAMARGO,CHIHUAHUA,Camargo,33778
ACA8A1502411,"ACEROS CAMESA S.A. DE C.V.,",332610,"Fabricación de alambre, productos de alambre y resortes",Metalurgica (incluye la siderurgica),Laminacion primaria de hierro y acero,PRODUCCIÓN DE ALAMBRE Y CABLE,,480814.1918,2173184.997,"19°39'13""",19,39,13,19.65361111,"99°10'58""",99,10,58,-99.18277778,Calle KM. 17.5 CARR. TLALNEPANTLA-CUAUTITLAN,S/N , ,Colonia EL PILAR,CUAUTITLAN,MEXICO,Cuautitlan,54879
ACCUB1802011,"Asociación de condóminos del condominio maestro Los Flamingos, A.C.,Condominio Maestro Los Flamingos",531319,Otros servicios relacionados con los servicios inmobiliarios,Otros,Descarga de aguas residuales de servicios,ADMINISTRACIÓN DE RÉGIMEN DE PROPIEDAD EN CONDOMINIO,,466905.2366,2293223.288,"20°44'18""",20,44,18,20.73833333,"105°19'4""",105,19,4,-105.3177778,Calle BLVD. COSTERO,900 SUR , ,Colonia CONDOMINIO MAESTRO LOS FLAMINGOS,BUCERIAS,NAYARIT,Bahia de Banderas,63732
ACE7T2201611,"ACERLAN MATRIX METALS S.A. de C.V.,ACERLAN MATRIX METALS S.A. DE C.V.",331510,Moldeo por fundición de piezas de hierro y acero,Metalurgica (incluye la siderurgica),Fundicion  y moldeo de piezas de hierro y acero,FUNDICION Y MOLDEO DE PIEZAS DE HIERRO Y ACERO,Valle de Oro,397704.4675,2258374.78,"20°25'15""",20,25,15,20.42083333,"99°58'49""",99,58,49,-99.98027778,Calle CAMINO A SAN PEDRO AHUACATLAN,3, ,,SAN JUAN DEL RIO,QUERETARO,San Juan del Rio,76803
ACE8V2500111,"Alambrados y Circuitos Eléctricos, S. de R.L. de C.V., Planta VII",336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,Automotriz,Produccion de otras auto partes,Fabricación de arneses automotrices,Raúl Romanillo,701885.9474,2852258.227,"25°46'28""",25,46,28,25.77444444,"108°59'12""",108,59,12,-108.9866667,Boulevard Macario Gaxiola,1001 Sur, ,,LOS MOCHIS,SINALOA,Ahome,81285
ACIRP0801911,"Aeropuerto de Chihuahua S.A de C.V,Aeropuerto de Chihuahua",488112,Administración de aeropuertos y helipuertos,Otros,Servicios de administracion de aeropuertos y helipuertos,Administración de Aeropuertos y Helipuertos ,,405924.9234,3175401.961,"28°42'8""",28,42,8,28.70222222,"105°57'47""",105,57,47,-105.9630556,Boulevard JUAN PABLO II KM. 14,S/N , ,Colonia AEROPUERTO,CHIHUAHUA,CHIHUAHUA,Chihuahua,31390
ACM3L1100711,"AVON COSMETICS MANUFACTURING S DE RL DE CV,",325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador",Quimica,"Produccion de perfumes, cosmeticos y similares a base de mezclas",PRODUCCION DE PERFUMES Y COSMETICOS,,312151.8189,2266605.225,"20°29'19""",20,29,19,20.48861111,"100°48'4""",100,48,4,-100.8011111,Calle GUERRERO,149, ,Colonia RANCHO SECO,CELAYA,GUANAJUATO,Celaya,38090
ACO7F1510411,"ACEROS CORSA S.A. DE C.V.,GERDAU CORSA",339999,Otras industrias manufactureras,Metalurgica (incluye la siderurgica),Fundicion  y moldeo de piezas de hierro y acero,Fundición y Laminación de Hierro y Acero,,486974.9934,2158333.185,"19°31'10""",19,31,10,19.51944444,"99°7'26""",99,7,26,-99.12388889,Calle AVENIDA LA PRESA,2, ,Colonia SAN JUAN IXHUATEPEC,TLALNEPANTLA,MEXICO,Tlalnepantla de Baz,54187
ACR7X0803711,"ALFA CRONOS SA DE CV,ALFA CRONOS S.A. DE C.V.",325999,Fabricación de otros productos químicos,Quimica,Galvanoplastia,RECUBRIMIENTOS METALICOS GALVANOPLASTIA Y OTROS,,365684.4601,3513358.835,"31°44'52""",31,44,52,31.74777778,"106°25'5""",106,25,5,-106.4180556,Calle HERMANOS ESCOBAR,7046,8 9 Y 10 ,Colonia PARQUE IND. OMEGA,JUAREZ,CHIHUAHUA,Juarez,32649
ACSKE2402811,"AUTOMOVILES COMPACTOS DE SAN LUIS SA DE CV,Volkswagen Potosina",468111,Comercio al por menor de automóviles y camionetas nuevos,Otros,Centros distribuidores de autotransportes ,venta de vehiculos y camionetas nuevos,,293977.6009,2450511.05,"22°8'51""",22,8,51,22.1475,"100°59'51""",100,59,51,-100.9975,Avenida CUAUHTEMOC,880, ,Colonia BUROCRATAS,SAN LUIS POTOSI,SAN LUIS POTOSI,San Luis Potosi,78270
ACT7X0200311,"ACABADOS DE CALIDAD TECATE SA DE CV,ACABADOS DE CALIDAD TECATE, S.A. DE C.V.",332810,Recubrimientos y terminados metálicos,Quimica,Galvanoplastia,ACABADOS DE SUPERFICIES METÁLICAS,,535245.451,3601273.961,"32°32'53""",32,32,53,32.54805556,"116°37'28""",116,37,28,-116.6244444,Calle KM. 3  CARR. TECATE-ENSENADA,S/N , ,Colonia MACLOVIO HERRERA,TECATE,BAJA CALIFORNIA,Tecate,21482
ACUKE1903911,"Autopolis Cumbres, S.A. de C.V.,Nissan Autopolis Cumbres ",468111,Comercio al por menor de automóviles y camionetas nuevos,Otros,Centros distribuidores de autotransportes ,Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz,,360388.4875,2846268.556,"25°43'39""",25,43,39,25.7275,"100°23'30""",100,23,30,-100.3916667,Calle PASEO DE LOS TRIUNFADORES,3231, ,Colonia LAS CUMBRES 8 SECTOR,MONTERREY,NUEVO LEON,Monterrey,64610
ACUKE1903921,"Automotores Cumbres S.A. de C.V.,",468111,Comercio al por menor de automóviles y camionetas nuevos,Otros,Centros distribuidores de autotransportes ,Venta de Automóviles y Refacciones Servicio de Mantto. Automotriz,,360044.9942,2846175.999,"25°43'36""",25,43,36,25.72666667,"100°23'42""",100,23,42,-100.395,Calle AV. PASEO DE LOS LEONES,3200, ,Colonia BOSQUES DE LAS CUMBRES,MONTERREY,NUEVO LEON,Monterrey,64360
ACUKE1904811,"Autopolis Cumbres, S.A. de C.V.,Nissan Autopolis Santa Catarina",468111,Comercio al por menor de automóviles y camionetas nuevos,Otros,Centros distribuidores de autotransportes ,"Venta de vehículos y refacciones, servicio de mantto. automotriz, hojalatería y pintura",,356673.6309,2840431.21,"25°40'28""",25,40,28,25.67444444,"100°25'41""",100,25,41,-100.4280556,Boulevard GUSTAVO DIAZ ORDAZ,150, ,Colonia LA FAMA,CIUDAD SANTA CATARINA,NUEVO LEON,Santa Catarina,66100
ACU1903900043,"Autopolis Cumbres, S.A. de C.V.,Autopolis Nissan Gonzalitos ",468111,Comercio al por menor de automóviles y camionetas nuevos,Otros,Centros distribuidores de autotransportes ,Comercio al por menor de automóviles y camionetas nuevos / servicio de mantto. automotriz,,364394.9349,2841476.053,"25°41'5""",25,41,5,25.68472222,"100°21'4""",100,21,4,-100.3511111,Avenida JOSE ELEUTERIO GONZALEZ,655 NTE. , ,Colonia GONZALITOS,MONTERREY,NUEVO LEON,Monterrey,64020
ACV5H1605311,"ALKEMIN, S. DE R.L. DE C.V.,",325190,Fabricación de otros productos químicos básicos orgánicos,Quimica,Produccion de acidos organicos,"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES ORGÁNICAS",,268038.7328,2179547.663,"19°41'51""",19,41,51,19.6975,"101°12'46""",101,12,46,-101.2127778,Calle MARTIN MONGE,307, ,Colonia NUEVA VALLADOLID,MORELIA,MICHOACAN,Morelia,58190
ADH5G2901511,"Adhesivos, S.A. de C.V.,",325999,Fabricación de otros productos químicos,Quimica,Produccion de resinas sinteticas,"La produccion, venta y almacenamiento de Resinas, Formol, Hexamina y Paraformol",Corredor  Industrial Ixtacuixtla,563597.5116,2135308.478,"19°18'38""",19,18,38,19.31055556,"98°23'40""",98,23,40,-98.39444444,Calle Carretera Texmelucan-Tlaxcala,6.5 km, ,,VILLA MARIANO MATAMOROS,TLAXCALA,Ixtacuixtla de Mariano Matamoros,90120
ADLSE0706211,"ACUAGRANJAS DOS LAGOS SA DE CV,ACUAGRANJA DOS LAGOS SA DE CV",311110,Elaboración de alimentos para animales,Quimica,Produccion de aceites esenciales,FABRICACION DE HARINA Y BIODISEL,,447538.8616,1937487.661,"17°31'22""",17,31,22,17.52277778,"93°29'39""",93,29,39,-93.49416667,Camino vecinal al ejido bajo Amacohite,SN , ,Ejido Bajo Amacohite,OSTUACAN,CHIAPAS,Ostuacan,29550
AEC0801900362,"ALTEC ELECTRONICA CHIHUAHUA S.A. DE C.V.,ALTEC ELECTRONICA CHIHUAHUA SA DE CV PARQUE TECNOLOGICO BAFAR",336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",Manufactura de componentes electronicos para la industria automotriz,PARQUE TECNOLOGICO BAFAR,389239.416,3161444.615,"28°34'30""",28,34,30,28.575,"106°7'57""",106,7,57,-106.1325,Avenida SILVESTRE TERRAZAS,12811,1,,CHIHUAHUA,CHIHUAHUA,Chihuahua,31415
AEEBU0900711,"ALUMINIO EXTRUIDO EXTRAL, S.A. DE C.V.,PLANTA 2",332810,Recubrimientos y terminados metálicos,Quimica,Anodizado de aluminio,FABRICACIÓN DE PERFILES DE ALUMINIO Y ACABADO,,492422.9851,2139727.779,"19°21'5""",19,21,5,19.35138889,"99°4'19""",99,4,19,-99.07194444,Calle ESPANA,NO. 409 , ,Colonia GRANJAS ESTRELLA,IZTAPALAPA,DISTRITO FEDERAL,Iztapalapa,9880
AEEBU0900712,"ALUMINIO EXTRUIDO EXTRAL, S.A. DE C.V.,ALUMINIO EXTRAL",331310,Industria básica del aluminio,Metalurgica (incluye la siderurgica),Afinacion y laminacion de aluminio,FABRICACIÓN DE PERFILES DE ALUMINIO,,495091.171,2139296.739,"19°20'51""",19,20,51,19.3475,"99°2'48""",99,2,48,-99.04666667,Calle ESPAÑA,400, ,Colonia GRANJAS ESTRELLA Y/O SAN NICOLAS TOLENTINO,IZTAPALAPA,DISTRITO FEDERAL,Iztapalapa,9880
AEMSP0805111,"AGNICO EAGLE MEXICO SA DE CV,AGNICO EAGLE ",212221,Minería de oro,Metalurgica (incluye la siderurgica),Mineria de oro,EXTRACCIÓN Y BENEFICIO DE MINERAL,,764974.4744,3130437.261,"28°16'23""",28,16,23,28.27305556,"108°17'55""",108,17,55,-108.2986111,Calle CONOCIDO,S/N , ,Colonia OCAMPO,MELCHOR OCAMPO,CHIHUAHUA,Ocampo,33320
AEMSP0805112,"AGNICO EAGLE MEXICO SA DE CV,Agnico Eagle Mexico",212221,Minería de oro,Metalurgica (incluye la siderurgica),Mineria de oro,Extracción y beneficio de mineral,,759861.256,3136956.768,"28°19'59""",28,19,59,28.33305556,"108°20'57""",108,20,57,-108.3491667,Calle DOMICILIO CONOCIDO,0, ,Colonia OCAMPO,MELCHOR OCAMPO,CHIHUAHUA,Ocampo,33320
AEM0900700106,"Auto Electricos de México, S.A.P.I. de C.V.,",336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,Automotriz,Produccion de otras auto partes,Fabricacion de partes automotrices (frenos),,491271.5511,2141259.965,"19°21'55""",19,21,55,19.36527778,"99°4'59""",99,4,59,-99.08305556,Avenida JAVIER ROJO GOMEZ,1201 A, ,Barrio SAN PEDRO,IZTAPALAPA,DISTRITO FEDERAL,Iztapalapa,9000
AEM1507000029,"Auto Eléctricos de México, S.A.P.I. de C.V., Planta Los Reyes",339999,Otras industrias manufactureras,Automotriz,Produccion de partes para el sistema de frenos automotriz,Fabricación de forros (balatas) para frenos automotrices,,503278.9219,2139976.094,"19°21'13""",19,21,13,19.35361111,"98°58'7""",98,58,7,-98.96861111,Carretera México - Texcoco Km. 19+500,- -,- -,Colonia Los Reyes Acaquilpan,LOS REYES ACAQUILPAN,MEXICO,La Paz,56400
AEM972803211,"ALCOM ELECTRONICOS DE MEXICO S.A DE C.V.,",339999,Otras industrias manufactureras,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",Ensamble de componentes electrónicos para la industria automotriz,,563418.724,2880467.928,"26°2'30""",26,2,30,26.04166667,"98°21'57""",98,21,57,-98.36583333,Calle AVE. INDUSTRIAL DEL NORTE,Lote 1 ,Manzana 5 ,Colonia PARQUE INDUSTRIAL DEL NORTE,REYNOSA,TAMAULIPAS,Reynosa,88730
AEN6A1900911,"Asfaltos Energex, S. A.  de C. V.,Asfaltos Energex, S.A. de C.V.",562111,Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos,Tratamiento de residuos peligrosos,Otros tratamientos a residuos peligrosos,Reciclado de aceite usado y solvente gastado,,396895.6444,2831337.34,"25°35'45""",25,35,45,25.59583333,"100°1'36""",100,1,36,-100.0266667,Calle Libramiento Alfonso Martínez Domínguez,KM. 0.5 , ,Colonia Cadereyta Jiménez Centro,CADEREYTA JIMENEZ,NUEVO LEON,Cadereyta Jimenez,67480
